code	biome
13.1.1	Intensive annual cropland
13.1.2	Extensive annual cropland
13.1.3	Irrigated annual cropland
13.2	Sown pastures and fields
13.3	Perennial agro-forestry
13.3.1	Fallow
13.3.2	Hedgerows
13.3.3	Alley cropping
13.3.4	Multi-strata systems
13.3.5	Parklands
13.3.6	Shaded perennial crop systems
13.3.7	Silvo-arable systems
13.3.8	Silvo-pastoral systems
13.4	Perennial monoculture
13.4.1	Plantations
13.4.2	Vinyards
13.4.3	Orchards
13.4.4	Short rotation coppice
13.5	Semi-natural pastures and old fields
13.6	Rice paddies
13.6.1	Permanently inundated ricepaddies
13.6.2	Temporary inundated rice paddies
13.7	Freshwater aquaculture
13.7.1	Purpose built constructions foraquaculture
13.7.2	Cages within natural and semi-natural freshwater
13.7.3	Rice-fish co-culture
13.8	Marine aquaculture
13.8.1	Marine aquafarms
13.8.2	Aquaculture ponds in coastalsystems
14	Human made structures
14.1	Anthropogenic freshwater structures
14.1.1	Large reservoirs
14.1.2	Constructed lacustrine wetlands
14.1.3	Artificial water courses
14.2	Anthropogenic marine structures
14.2.1	Submerged artificial structures
14.2.2	Other anthropogenic marinesystems
14.3	Anthropogenic shoreline structures
15	Urban and Industrial areas
15.1	Urban green and blue infrastructure
15.1.1	Urban parks and forests
15.1.2	Lawns, sports fields, golf courses
15.1.3	Urban lakes, ponds, wetlands
15.1.4	Urban and peri-urban cultivation
15.1.5	Street trees and shrubs
15.1.6	Other green infrastructure
15.1.7	Other blue infrastructure
15.2	Artificial urban surfaces
15.2.1	Continuous urban surfaces
15.2.2	Discontinuous urban surfaces
15.3	Industrial, commercial and transport units
15.3.1	Industrial and commercial units
15.3.2	Roads and rail networks
15.3.3	Port areas
15.3.4	Airports
15.4	Mine, dump and construction sites
15.4.1	Mineral extraction sites
15.4.2	Dump sites
15.4.3	Construction sites
